,Unnamed: 0_x,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,format,Unnamed: 0_y,Span,Mat_y,Inns_y,Balls,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
57,57.0,Inzamam-ul-Haq (Asia/PAK),378.0,350.0,53.0,11739.0,137*,39.52,15812.0,74.24,10.0,83.0,20.0,971,144,odi,,,,,,,,,,,,
58,58.0,JJ Roy (ENG),98.0,93.0,2.0,3658.0,180,40.19,3410.0,107.27,9.0,20.0,9.0,428,73,odi,,,,,,,,,,,,
59,59.0,GR Marsh (AUS),117.0,115.0,6.0,4357.0,126*,39.97,7790.0,55.93,9.0,22.0,4.0,302,22,odi,,,,,,,,,,,,
60,60.0,JC Buttler (ENG),148.0,123.0,23.0,3872.0,150,38.72,3263.0,118.66,9.0,20.0,13.0,323,125,odi,,,,,,,,,,,,
61,61.0,KP Pietersen (ENG/ICC),136.0,125.0,16.0,4440.0,130,40.73,5128.0,86.58,9.0,25.0,7.0,427,77,odi,,,,,,,,,,,,
62,62.0,SR Watson (AUS),190.0,169.0,27.0,5757.0,185*,40.54,6365.0,90.44,9.0,33.0,12.0,570,131,odi,61.0,2002-2015,190.0,163.0,6466.0,5342.0,168.0,31.79,4.95,38.4,3.0,0.0
63,63.0,Ramiz Raja (PAK),198.0,197.0,15.0,5841.0,119*,32.09,9226.0,63.31,9.0,31.0,15.0,469+,14+,odi,,,,,,,,,,,,
64,64.0,Shakib Al Hasan (BAN),215.0,203.0,29.0,6600.0,134*,37.93,8035.0,82.14,9.0,49.0,11.0,596,43,odi,17.0,2006-2021,215.0,212.0,11003.0,8155.0,277.0,29.44,4.44,39.7,9.0,3.0
65,65.0,Shoaib Malik (PAK),287.0,258.0,40.0,7534.0,143,34.55,9199.0,81.9,9.0,44.0,15.0,603,113,odi,66.0,1999-2019,287.0,217.0,7958.0,6192.0,158.0,39.18,4.66,50.3,1.0,0.0
66,66.0,CS MacLeod (SCOT),72.0,70.0,6.0,2290.0,175,35.78,2863.0,79.98,8.0,8.0,9.0,234,25,odi,,,,,,,,,,,,
67,67.0,Salman Butt (PAK),78.0,78.0,4.0,2725.0,136,36.82,3572.0,76.28,8.0,14.0,15.0,343,7,odi,,,,,,,,,,,,
68,68.0,GA Gooch (ENG),125.0,122.0,6.0,4290.0,142,36.98,6932.0,61.88,8.0,23.0,4.0,407+,15,odi,,,,,,,,,,,,
69,69.0,Mushfiqur Rahim (BAN),227.0,213.0,36.0,6581.0,144,37.18,8325.0,79.05,8.0,40.0,10.0,517,85,odi,,,,,,,,,,,,
70,70.0,Javed Miandad (PAK),233.0,218.0,41.0,7381.0,119*,41.7,11014.0,67.01,8.0,50.0,8.0,445+,44+,odi,,,,,,,,,,,,
